보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형) (월납),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,"2,480 원","2,180 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,2480  원,"2,180  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형) (월납),특약,(무)뇌혈관질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “뇌혈관질환”으로 진단이 확정되었을 때(다만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원","19,920 원","19,280 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)뇌혈관질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “뇌혈관질환”으로 진단이 확정되었을 때(다만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",19920  원,"19,280  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형) (월납),특약,(무)1-5종수술보장특약(일반심사형)_1형(평준형),5종수술급여금: 피보험자가 이 특약의 보험기간 중 1~5종 수술분류표에서 정한 5종 수술을 받았을 때 * 이외 보장담보는 상품요약서 참조,(수술 1회당) 5종 수술: 1000만원,"1,000만원","20,676 원","22,386 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)1-5종수술보장특약(일반심사형)_1형(평준형),5종수술급여금: 피보험자가 이 특약의 보험기간 중 1~5종 수술분류표에서 정한 5종 수술을 받았을 때 * 이외 보장담보는 상품요약서 참조,(수술 1회당) 5종 수술: 1000만원,"1,000만원",20676  원,"22,386  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형) (월납),특약,(무)일반암진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 암으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)""","""경과기간 1년 미만： 500만원 경과기간 1년 이상：1,000만원""","1,000만원","14,670 원","12,280 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)일반암진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 암으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)""","""경과기간 1년 미만： 500만원 경과기간 1년 이상：1,000만원""","1,000만원",14670  원,"12,280  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형) (월납),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원","11,010 원","7,340 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",11010  원,"7,340  원",2.50 %,-,-,95.8 %,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형) (월납),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,0 원,"2,180 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),주계약,사망보험금,보험기간 중 피보험자가 사망하였을 때,보험가입금액,100만원,0  원,"2,180  원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형) (월납),특약,(무)뇌혈관질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “뇌혈관질환”으로 진단이 확정되었을 때(다만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",0 원,"19,280 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),특약,(무)뇌혈관질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “뇌혈관질환”으로 진단이 확정되었을 때(다만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",0  원,"19,280  원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형) (월납),특약,(무)1-5종수술보장특약(일반심사형)_1형(평준형),5종수술급여금: 피보험자가 이 특약의 보험기간 중 1~5종 수술분류표에서 정한 5종 수술을 받았을 때 * 이외 보장담보는 상품요약서 참조,(수술 1회당) 5종 수술: 1000만원,"1,000만원",0 원,"25,538 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),특약,(무)1-5종수술보장특약(일반심사형)_1형(평준형),5종수술급여금: 피보험자가 이 특약의 보험기간 중 1~5종 수술분류표에서 정한 5종 수술을 받았을 때 * 이외 보장담보는 상품요약서 참조,(수술 1회당) 5종 수술: 1000만원,"1,000만원",0  원,"25,538  원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형) (월납),특약,(무)일반암진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 암으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)""","""경과기간 1년 미만： 500만원 경과기간 1년 이상：1,000만원""","1,000만원",0 원,"12,280 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),특약,(무)일반암진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 암보장개시일 이후에 암으로 진단이 확정되었을 때 (다만, 최초 1회 진단확정에 한하여 지급)""","""경과기간 1년 미만： 500만원 경과기간 1년 이상：1,000만원""","1,000만원",0  원,"12,280  원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형) (월납),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",0 원,"7,340 원",2.50 %,비갱신형,비유니버셜,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500,file_10.xls,ABL생명,(무)우리WON톡톡튀는여성건강보험(일반심사형),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",0  원,"7,340  원",2.50 %,-,-,-,93.7 %,-,-,-,-,기본형,일반,-,-,-,-,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 500만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신, 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
