보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
메리츠화재,(무) 메리츠 노후실손의료비보험2601,(무) 메리츠 노후실손의료비보험2601,노후실손의료비_상해형,상해로 인하여 병원에 입원 또는 통원하여 치료 및 처방조제시,1억원 한도,"60,078","65,195",102.1,,,,,,,file_30.xls,,메리츠화재,(무) 메리츠 노후실손의료비보험2601,노후실손의료비_상해형,상해로 인하여 병원에 입원 또는 통원하여 치료 및 처방조제시,1억원 한도,"60,078","65,195",102.1,102.2,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 노후실손의료비보험2601,(무) 메리츠 노후실손의료비보험2601,노후실손의료비_질병형,질병으로 인하여 병원에 입원 또는 통원하여 치료 및 처방조제시,,,,,,,,,,,file_30.xls,,,,노후실손의료비_질병형,질병으로 인하여 병원에 입원 또는 통원하여 치료 및 처방조제시,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 노후실손의료비보험2601,(무) 메리츠 노후실손의료비보험2601,요양병원의료비,질병 또는 상해로 인하여 요양병원에서 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우(상급병실료차액 제외) 계약일 또는 매년 계약해당일부터 1년 단위로 연간 5천만원 한도(통원의 경우 회(건)당 최고 100만원 한도) 내에서 보상,5000만원 한도,,,,,,,,,,file_30.xls,,,,요양병원의료비,질병 또는 상해로 인하여 요양병원에서 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우(상급병실료차액 제외) 계약일 또는 매년 계약해당일부터 1년 단위로 연간 5천만원 한도(통원의 경우 회(건)당 최고 100만원 한도) 내에서 보상,5000만원 한도,,,,,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) let:care 노후실손의료보험Ⅱ(2601),(무) let:care 노후실손의료보험Ⅱ(2601),노후실손의료비(상해형)(갱신형),피보험자가 상해로 인하여 병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,보험가입금액(1억원) 한도,"56,937","43,764",100,,,,,,,file_30.xls,,롯데손보,(무) let:care 노후실손의료보험Ⅱ(2601),노후실손의료비(상해형)(갱신형),피보험자가 상해로 인하여 병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,보험가입금액(1억원) 한도,"56,937","43,764",100,100.1,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) let:care 노후실손의료보험Ⅱ(2601),(무) let:care 노후실손의료보험Ⅱ(2601),노후실손의료비(질병형)(갱신형),피보험자가 질병으로 인하여 병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,,,,,,,,,,,file_30.xls,,,,노후실손의료비(질병형)(갱신형),피보험자가 질병으로 인하여 병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,,,,,,,,,,,,,,,,,,,,,,,,,
롯데손보,(무) let:care 노후실손의료보험Ⅱ(2601),(무) let:care 노후실손의료보험Ⅱ(2601),요양병원의료비(갱신형),피보험자가 상해 또는 질병으로 인하여 요양병원에서 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,보험가입금액(5천만원) 한도,,,,,,,,,,file_30.xls,,,,요양병원의료비(갱신형),피보험자가 상해 또는 질병으로 인하여 요양병원에서 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우,보험가입금액(5천만원) 한도,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재,무배당 삼성화재 노후실손의료비보험(2601.20),무배당 삼성화재 노후실손의료비보험(2601.20),노후실손의료비B(상해형),상해로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,"연간 1억원 한도. 다만, 통원은 회(건)당 1백만원을 최고한도로 함","54,476","65,652",94.7,,,,,,,file_30.xls,,삼성화재,무배당 삼성화재 노후실손의료비보험(2601.20),노후실손의료비B(상해형),상해로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,"연간 1억원 한도. 다만, 통원은 회(건)당 1백만원을 최고한도로 함","54,476","65,652",94.7,94.8,,,,,,,,,,,,,,,,,,,,
삼성화재,무배당 삼성화재 노후실손의료비보험(2601.20),무배당 삼성화재 노후실손의료비보험(2601.20),노후실손의료비B(질병형),질병으로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,,,,,,,,,,,file_30.xls,,,,노후실손의료비B(질병형),질병으로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재,무배당 삼성화재 노후실손의료비보험(2601.20),무배당 삼성화재 노후실손의료비보험(2601.20),요양병원 실손의료비B,상해 또는 질병으로 인하여 요양병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우 ※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,"연간 5천만원 한도. 다만, 통원은 회(건)당 1백만원을 최고한도로 함",,,,,,,,,,file_30.xls,,,,요양병원 실손의료비B,상해 또는 질병으로 인하여 요양병원에 입원 또는 통원하여 치료를 받거나 처방조제를 받은 경우 ※ 국민건강보험법 또는 의료급여법을 적용받지 못한 경우 의료비 중 본인이 실제로 부담한 금액에서 공제금액을 차감한 후의 금액에 대해 40%해당액을 연간 보험가입금액 한도로 보상,"연간 5천만원 한도. 다만, 통원은 회(건)당 1백만원을 최고한도로 함",,,,,,,,,,,,,,,,,,,,,,,,
현대해상,(무)현대해상노후실손의료비보장보험(갱신형)(Hi2601),(무)현대해상노후실손의료비보장보험(갱신형)(Hi2601),노후실손의료비 상해(갱신형),"상해로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",1억원한도(통원 1건당100만원한도),"61,656","70,738",106.7,,,,,,,file_30.xls,,현대해상,(무)현대해상노후실손의료비보장보험(갱신형)(Hi2601),노후실손의료비 상해(갱신형),"상해로 인하여 병원(요양병원 제외)에 입원 또는 통원하여 치료를 받거나, 처방조제를 받은 경우",1억원한도(통원 1건당100만원한도),"61,656","70,738",106.7,106.9,,,,,,,,,,,,,,,,,,,,
