보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21
,,,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,,,,,,,,,,file_38.xls,,,,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,,,,,,,,,,,,,,,,
,,,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,,file_38.xls,,,,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,,,,,,,,
,,,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,,,,,,,,,,file_38.xls,,,,붕괴침강및사태손해(실손전부보상),"붕괴,침강 및 사태로 인해 보험목적에 손해가 발생한 경우",보험가입금액 한도 실손 전부보상,,,,,,,,,,,,,,,,
,,,"임시거주비(화재,실손,4일이상,주택)","보험목적에 화재(벼락포함)로 화재손해, 소방손해, 피난손해가 발생하여 보험목적 내에 거주할 수 없게 된 경우 피보험자 본인 및 본인과 생계를 같이하고 보험목적의 주민등록상 동거중인 가족을 위해 보험목적의 약관에서 정한 복구기간 내 임시거주기간 동안 숙박시설 또는 음식점에서 지출한 비용을 보상","손해발생후 4일째부터 1일당 보험가입금액 한도로 실손 보상(사고발생일부터 90일 한도, 총 87일 한도 보상 가능)",,,,,,,,,,file_38.xls,,,,"임시거주비(화재,실손,4일이상,주택)","보험목적에 화재(벼락포함)로 화재손해, 소방손해, 피난손해가 발생하여 보험목적 내에 거주할 수 없게 된 경우 피보험자 본인 및 본인과 생계를 같이하고 보험목적의 주민등록상 동거중인 가족을 위해 보험목적의 약관에서 정한 복구기간 내 임시거주기간 동안 숙박시설 또는 음식점에서 지출한 비용을 보상","손해발생후 4일째부터 1일당 보험가입금액 한도로 실손 보상(사고발생일부터 90일 한도, 총 87일 한도 보상 가능)",,,,,,,,,,,,,,,,
,,,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,,file_38.xls,,,,화재손해(실손전부보상),"화재(주택의 경우 폭발, 파열 포함)로 인해 건물 및 가재의 손해 및 소방, 피난 손해가 발생시※ 잔존물 제거비용: 잔존물의 해체비용, 청소비용, 상차비용(차에 싣는 비용)",보험가입금액 한도 실손 전부보상※ 잔존물 제거비용 발생 시 손해액의 10% 한도 보상,,,,,,,,,,,,,,,,
,,,도난손해(주택)(실손전부형),"보험목적이 강도 또는 절도(미수 포함)로 인해 도난, 망가짐, 손상 및 파손된 손해를 입은 경우",보험가입금액 한도,,,,,,,,,,file_38.xls,,,,도난손해(주택)(실손전부형),"보험목적이 강도 또는 절도(미수 포함)로 인해 도난, 망가짐, 손상 및 파손된 손해를 입은 경우",보험가입금액 한도,,,,,,,,,,,,,,,,
,,,"붕괴,침강및사태로인한재산손해(주택)(실손전부형)","붕괴, 침강 및 사태로 인해 보험목적에 손해가 발생한 경우",,,,,,,,,,,file_38.xls,,,,"붕괴,침강및사태로인한재산손해(주택)(실손전부형)","붕괴, 침강 및 사태로 인해 보험목적에 손해가 발생한 경우",,,,,,,,,,,,,,,,,
,,,화재손해(실손),"화재(폭발, 파열 제외. 단,전용주택의 경우는 폭발, 파열포함)로 인해 직접손해 및 소방 ·피난손해가 발생한 경우",보험가입금액 한도,,,,,,,,,,file_38.xls,,,,화재손해(실손),"화재(폭발, 파열 제외. 단,전용주택의 경우는 폭발, 파열포함)로 인해 직접손해 및 소방 ·피난손해가 발생한 경우",보험가입금액 한도,,,,,,,,,,,,,,,,
,,,"붕괴,침강및사태손해(실손보상형)","보험기간 중 붕괴, 침강 또는 사태로 인하여 보험목적에 발생하는 손해",보험가입금액한도,,,,,,,,,,file_38.xls,,,,"붕괴,침강및사태손해(실손보상형)","보험기간 중 붕괴, 침강 또는 사태로 인하여 보험목적에 발생하는 손해",보험가입금액한도,,,,,,,,,,,,,,,,
,,,화재손해(실손보상형),"화재, 폭발, 파열로 인해 보험목적에 손해 및 소방손해, 피난손해가 발생한 경우",보험가입금액한도,,,,,,,,,,file_38.xls,,,,화재손해(실손보상형),"화재, 폭발, 파열로 인해 보험목적에 손해 및 소방손해, 피난손해가 발생한 경우",보험가입금액한도,,,,,,,,,,,,,,,,
,,,"재산손해종합보장(실손보상형, 영위업종적용)",건물을 제외한 보험의 목적의 제3자의 고의에 의한 파손 손해 발생시,가입금액 한도(자기부담금 20만원),,,,,,,,,,file_38.xls,,,,"재산손해종합보장(실손보상형, 영위업종적용)",건물을 제외한 보험의 목적의 제3자의 고의에 의한 파손 손해 발생시,가입금액 한도(자기부담금 20만원),,,,,,,,,,,,,,,,
,,,화재손해(건물)(실손)(영위업종적용),화재로 인한 직접손해 및 소방·피난손해가 발생한 경우 ※ 1사고마다 보험증권에 기재된 보험가입금액을 한도로 실제 손해액 보상,가입금액 한도,,,,,,,,,,file_38.xls,,,,화재손해(건물)(실손)(영위업종적용),화재로 인한 직접손해 및 소방·피난손해가 발생한 경우 ※ 1사고마다 보험증권에 기재된 보험가입금액을 한도로 실제 손해액 보상,가입금액 한도,,,,,,,,,,,,,,,,
,,,붕괴·침강및사태로인한재산손해(실손보상),"보험기간 중에 붕괴,침강 및 사태로 인하여 보험의 목적에 발생한 손해를 실손보상",,,,,,,,,,,file_38.xls,,,,붕괴·침강및사태로인한재산손해(실손보상),"보험기간 중에 붕괴,침강 및 사태로 인하여 보험의 목적에 발생한 손해를 실손보상",,,,,,,,,,,,,,,,,
,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,file_38.xls,,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,,,,,,,
,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,file_38.xls,,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,,,,,,,
,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,file_38.xls,,,,화재손해(실손보상),"보험기간 중 화재(벼락포함),소방,피난 손해발생시 실손보상(단, 주택의 경우 폭발, 파열로 인한 손해도 보상)",,,,,,,,,,,,,,,,,
,,,"붕괴, 침강 및 사태손해(실손보상, 동산제외)","붕괴, 침강 및 사태로 보험목적에 생긴 손해",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,"붕괴, 침강 및 사태손해(실손보상, 동산제외)","붕괴, 침강 및 사태로 보험목적에 생긴 손해",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,주택(화재)건물재조달차액지원(실손),보험목적(보험에 가입한 물건 중 주택건물을 말합니다)이 화재로 입은 손해,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,주택(화재)건물재조달차액지원(실손),보험목적(보험에 가입한 물건 중 주택건물을 말합니다)이 화재로 입은 손해,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,"주택임시거주비(화재,붕괴,침강,사태)(1일이상)(실손)","보험목적인 주택에서 발생한 화재(폭발포함),붕괴,침강,사태로 인하여 보험목적 내에서 거주할 수 없게 된 경우, 보험목적의 수리기간동안 지출한 숙박비 및 식비를 지급",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,file_38.xls,,,,"주택임시거주비(화재,붕괴,침강,사태)(1일이상)(실손)","보험목적인 주택에서 발생한 화재(폭발포함),붕괴,침강,사태로 인하여 보험목적 내에서 거주할 수 없게 된 경우, 보험목적의 수리기간동안 지출한 숙박비 및 식비를 지급",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,,,,,,,
,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,file_38.xls,,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,,,,,,,
,,,화재손해(실손보상),"① 화재에 따른 직접손해② 화재에 따른 소방손해(화재진압과정에서 발생하는 손해)③ 화재에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용(화재발생 후 사고현장에서 잔존물의 해체비용, 청소비용, 차에 싣는 비용을 화재손해액의 10%이내에서 실비지급. 단, 화재손해 및 잔존물제거비용의 합계액은 이 담보의 보험가입금액을 한도로 지급)",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,화재손해(실손보상),"① 화재에 따른 직접손해② 화재에 따른 소방손해(화재진압과정에서 발생하는 손해)③ 화재에 따른 피난손해(피난지에서 5일동안 생긴 위 ①, ②의 손해)④ 잔존물 제거비용(화재발생 후 사고현장에서 잔존물의 해체비용, 청소비용, 차에 싣는 비용을 화재손해액의 10%이내에서 실비지급. 단, 화재손해 및 잔존물제거비용의 합계액은 이 담보의 보험가입금액을 한도로 지급)",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,가족화재벌금(실손),"피보험자 본인 및 가족이 보험기간 중에 형법 제170조 또는 제171조에서 정한 실화, 업무상실화, 중실화에 따른 벌금형이 확정된 경우",보험가입금액(2천만)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,가족화재벌금(실손),"피보험자 본인 및 가족이 보험기간 중에 형법 제170조 또는 제171조에서 정한 실화, 업무상실화, 중실화에 따른 벌금형이 확정된 경우",보험가입금액(2천만)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,배상책임종합보장(실손),"피보험자가 소유, 사용, 관리하는 보험증권에 기재된 시설 및 그 시설의 용도에 따른 업무수행으로 생긴 우연한 사고로 타인의 신체에 장해를 입히거나 재물에 손해를 입혀 법률상 손해배상책임을 부담함으로써 입은 실손해액 지급",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,배상책임종합보장(실손),"피보험자가 소유, 사용, 관리하는 보험증권에 기재된 시설 및 그 시설의 용도에 따른 업무수행으로 생긴 우연한 사고로 타인의 신체에 장해를 입히거나 재물에 손해를 입혀 법률상 손해배상책임을 부담함으로써 입은 실손해액 지급",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,일반·공장(재산손해)건물재조달차액지원(실손),재산손해종합보장에서 정한 위험으로 보험의 목적(건물)에 손해가 발생하는 경우,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,일반·공장(재산손해)건물재조달차액지원(실손),재산손해종합보장에서 정한 위험으로 보험의 목적(건물)에 손해가 발생하는 경우,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,재산손해종합보장(실손보상),보험의 목적에 급격하고 우연하게 발생한 직접적인 재산손해,보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,재산손해종합보장(실손보상),보험의 목적에 급격하고 우연하게 발생한 직접적인 재산손해,보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,file_38.xls,,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,,,,,,,
,,,"붕괴, 침강 및 사태손해(실손보상, 동산제외)","붕괴, 침강 및 사태로 보험목적에 생긴 손해",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,"붕괴, 침강 및 사태손해(실손보상, 동산제외)","붕괴, 침강 및 사태로 보험목적에 생긴 손해",보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,주택(화재)건물재조달차액지원(실손),보험목적(보험에 가입한 물건 중 주택건물을 말합니다)이 화재로 입은 손해,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,file_38.xls,,,,주택(화재)건물재조달차액지원(실손),보험목적(보험에 가입한 물건 중 주택건물을 말합니다)이 화재로 입은 손해,손해가 생긴 때와 곳에서의 「재조달가액」과 「보험가액」의 차액을 보험가입금액(1억)한도 내 실손보상,,,,,,,,,,,,,,,,
,,,"주택임시거주비(화재,붕괴,침강,사태)(1일이상)(실손)","보험목적인 주택에서 발생한 화재(폭발포함),붕괴,침강,사태로 인하여 보험목적 내에서 거주할 수 없게 된 경우, 보험목적의 수리기간동안 지출한 숙박비 및 식비를 지급",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,file_38.xls,,,,"주택임시거주비(화재,붕괴,침강,사태)(1일이상)(실손)","보험목적인 주택에서 발생한 화재(폭발포함),붕괴,침강,사태로 인하여 보험목적 내에서 거주할 수 없게 된 경우, 보험목적의 수리기간동안 지출한 숙박비 및 식비를 지급",1일당 보험가입금액(10만)한도 내 실손보상(사고일로부터 90일한도),,,,,,,,,,,,,,,,
,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,file_38.xls,,,,화재(폭발포함)배상책임Ⅱ(실손),"보험증권에 목적물(보험증권상의 소재지의 보장지역(면적) 내에서 피보험자가 소유, 사용 또는 관리하는 물건)에서 발생한 화재(폭발포함)로 인해 타인의 신체 및 재물에 손해에 대한 법률상의 손해배상책임을 부담함으로써 입은 손해","보험가입금액(대인 1억, 대물 1억) 한도내 실손보상",,,,,,,,,,,,,,,,
