보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
메리츠화재,(무) 메리츠 성공파트너 종합보험2601(1종),특약,민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,3천만원,"10,432 원","9,672 원",,비갱신형,,,,,file_47.xls,,메리츠화재,(무) 메리츠 성공파트너 종합보험2601(1종),민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,"10,432","9,672",98.9,108.5,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 성공파트너 종합보험2601(2종),특약,민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,3천만원,"10,432 원","9,672 원",,비갱신형,,,,,file_47.xls,,메리츠화재,(무) 메리츠 성공파트너 종합보험2601(2종),민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,"10,432","9,672",98.9,108.5,,,,,,,,,,,,,,,,,,,,
하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),특약,교원소청변호사비용손해,"교원소청심사 청구의 원인이 되는 사건이 발생하여 교원소청 심사를 보험기간 중에 청구하고 대리인으로 변호사를 선임한 경우 그 소청이 처분 취소, 변경 등 심사 결정으로 종료됨에 따라 피보험자가 부담한 변호사선임비용",300만원 한도(자기부담금 10만원),300만원 한도(자기부담금 10만원),"10,487 원","9,399 원",,비갱신형,,,,,file_47.xls,,하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),교원소청변호사비용손해,"교원소청심사 청구의 원인이 되는 사건이 발생하여 교원소청 심사를 보험기간 중에 청구하고 대리인으로 변호사를 선임한 경우 그 소청이 처분 취소, 변경 등 심사 결정으로 종료됨에 따라 피보험자가 부담한 변호사선임비용",300만원 한도(자기부담금 10만원),"10,487","9,399",121.1,119.5,,,,,,,,,,,,,,,,,,,,
하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),특약,민사소송법률비용손해,"피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 약관에서 정한 민사소송 사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담한 법률비용※ 연간 하나의 사건에 의해 제기된 소송에 한함",· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,,,,비갱신형,,,,,file_47.xls,,,,민사소송법률비용손해,"피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 약관에서 정한 민사소송 사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담한 법률비용※ 연간 하나의 사건에 의해 제기된 소송에 한함",· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,,,,,,,,,,,,,,,,,,,,,,,,
하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),특약,행정소송법률비용손해,"피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 약관에서 정한 행정소송 사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담한 법률비용",· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,,,,비갱신형,,,,,file_47.xls,,,,행정소송법률비용손해,"피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 약관에서 정한 행정소송 사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담한 법률비용",· 변호사비용『변호사보수의 소송비용산입에 관한 규칙』에 정한 변호사비용의 한도 내에서 실제 부담한 변호사 보수액 중 자기부담금 10만원을 초과하는 금액· 인지액+송달료 500만원 한도,,,,,,,,,,,,,,,,,,,,,,,,
라이나손보(에이스손보),(무)무심사 시니어안심보험2404 1종 무심사형,특약,민사소송법률비용보장 특별약관,"보험기간 중에 피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 민사1심 합의/단독사건과 민사 소액/항소/상고사건이 보험기간 중에 대한민국 법원에서 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담하는 경우","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도",,,,비갱신형,,,,,file_47.xls,,,,민사소송법률비용보장 특별약관,"보험기간 중에 피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 민사1심 합의/단독사건과 민사 소액/항소/상고사건이 보험기간 중에 대한민국 법원에서 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담하는 경우","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도",,,,,,,,,,,,,,,,,,,,,,,,
라이나손보(에이스손보),(무)무심사 시니어안심보험2404 2종 일반심사형,특약,민사소송법률비용보장 특별약관,"보험기간 중에 피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 민사1심 합의/단독사건과 민사 소액/항소/상고사건이 보험기간 중에 대한민국 법원에서 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담하는 경우","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도",,,,비갱신형,,,,,file_47.xls,,,,민사소송법률비용보장 특별약관,"보험기간 중에 피보험자에게 소송제기의 원인이 되는 사건이 발생하여, 민사1심 합의/단독사건과 민사 소액/항소/상고사건이 보험기간 중에 대한민국 법원에서 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 부담하는 경우","변호사비용: 1,500만원한도  (1사고당 자기부담금 10만원)-. 인지액+송달료 : 500만원 한도",,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 성공파트너 종합보험2601(1종),특약,민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,3천만원,"10,432 원","9,672 원",,비갱신형,,,,,장기보장성 비교 공시 (7).xls,,메리츠화재,(무) 메리츠 성공파트너 종합보험2601(1종),민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,"10,432","9,672",98.9,108.5,,,,,,,,,,,,,,,,,,,,
메리츠화재,(무) 메리츠 성공파트너 종합보험2601(2종),특약,민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,3천만원,"10,432 원","9,672 원",,비갱신형,,,,,장기보장성 비교 공시 (7).xls,,메리츠화재,(무) 메리츠 성공파트너 종합보험2601(2종),민사소송법률비용Ⅱ,"피보험자에게 소송의 원인이 되는 사건이 발생하여, 소송사건이 보험기간 중에 대한민국 법원에 제기되어 그 소송이 판결, 소송상 조정 또는 소송상 화해로 종료됨에 따라 피보험자가 법률비용을 부담하는 경우",3천만원,"10,432","9,672",98.9,108.5,,,,,,,,,,,,,,,,,,,,
하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),특약,교원소청변호사비용손해,"교원소청심사 청구의 원인이 되는 사건이 발생하여 교원소청 심사를 보험기간 중에 청구하고 대리인으로 변호사를 선임한 경우 그 소청이 처분 취소, 변경 등 심사 결정으로 종료됨에 따라 피보험자가 부담한 변호사선임비용",300만원 한도(자기부담금 10만원),300만원 한도(자기부담금 10만원),"10,487 원","9,399 원",,비갱신형,,,,,장기보장성 비교 공시 (7).xls,,하나손보,무배당 하나더퍼스트 교직원 안심보험(2601),교원소청변호사비용손해,"교원소청심사 청구의 원인이 되는 사건이 발생하여 교원소청 심사를 보험기간 중에 청구하고 대리인으로 변호사를 선임한 경우 그 소청이 처분 취소, 변경 등 심사 결정으로 종료됨에 따라 피보험자가 부담한 변호사선임비용",300만원 한도(자기부담금 10만원),"10,487","9,399",121.1,119.5,,,,,,,,,,,,,,,,,,,,
